"p.value","m.z","t.score","r.t"
0.0497647891947408,468.3081,1.259781,4.34
0.0088208847818915,494.3242,1.07149816666667,4.48
0.00951022818621034,496.3397,1.13621533333333,4.83
0.254340658801344,520.3395,0.574536166666668,4.66
0.023113867340885,522.3553,1.18755666666667,5
0.00167667487986538,524.371,1.640301,5.39
0.127648503047297,542.3214,0.819757666666668,4.66
0.0101919897650284,544.3386,1.55312116666667,4.69
0.0342551030553591,518.3215,1.0133325,4.82
0.624943585873344,568.3398,0.5404175,4.66
0.838514055107718,452.277,-0.166037833333332,4.52
0.460908141335818,454.2928,0.312184499999999,4.84
0.100015067412323,478.2926,1.14907216666667,4.68
0.0101872587696576,480.3084,0.865087333333332,5.01
0.00141391990349835,482.3242,1.73791316666667,5.4
0.63334783359287,502.2933,0.243123000000001,4.7
0.00528319568714316,510.3556,0.432288166666667,5.11
0.02558064191132,538.3868,1.42488433333333,5.72
0.0563199255312342,706.5373,1.3046185,8.11
0.00031230726568166,732.5538,3.40095883333333,8.27
4.05188493804165e-05,734.5689,2.74966216666667,8.59
0.00011070616745475,756.5521,2.4162775,8.12
0.0408320780178737,758.5683,1.4128135,8.42
0.00021148543301637,760.5847,1.99359666666667,8.74
0.024557679985672,762.5999,2.00150466666667,9.04
0.284861559906071,782.568,0.678570166666668,8.25
0.0268772350187156,782.5677,1.59916366666667,8.45
0.00334537249740844,784.5841,1.89770766666666,8.57
0.00020221400886641,786.6002,2.47816833333333,8.88
3.89287479204143e-05,788.616,2.266618,9.17
0.292243960537216,806.5683,-1.07147366666666,8.38
0.0146417675801801,810.5969,1.67193766666666,8.89
0.894583360626169,812.6153,0.143331666666668,9.04
0.23518754680051,814.6335,1.18286533333333,9.26
0.0585143892205207,740.5548,1.69144716666667,8.64
0.0802532329951305,744.5921,1.27710483333333,9.03
0.00018238991393315,746.6059,2.08625233333333,9.03
0.0744189976344325,766.5731,1.594774,8.74
0.0555337204899826,768.5879,1.71509483333333,9.03
0.00920587392382197,772.6212,2.02889483333333,9.18
0.0228583956608296,774.6361,1.87464433333333,9.47
0.00013694511591893,796.6206,3.37090566666667,9.2
0.610880083708782,692.5217,0.286809333333333,7.85
0.404240478678521,720.5558,-0.544077000000002,8.44
0.856168577545048,300.2897,-0.0940461666666675,4.25
0.826860122842244,300.2896,-0.127796166666668,4.99
0.620260644103967,324.2895,-0.336872166666666,4.83
0.00025619939629843,342.3,-1.647753,5.11
0.400162884019934,538.5196,0.340148333333332,8.29
0.0964699506171999,622.6134,0.961435833333334,9.66
0.0242684999742779,650.6444,1.229201,10.07
0.00503719140708997,648.6289,1.58888833333333,9.71
0.0194912107671467,701.5583,2.14538333333333,7.82
0.00068935067104296,703.5744,1.60866733333333,8.15
0.186082097851528,729.5891,0.866578833333333,8.33
0.0174225597188306,731.6058,1.45631083333334,8.64
0.0445157007458078,759.6369,1.4555175,9.12
0.00118047688014511,785.6526,2.3243715,9.26
0.0119896933455184,787.6648,1.9058355,9.55
5.89144480836172e-05,813.6853,3.04520016666667,9.6
0.00036097635271897,815.6998,2.45006233333333,9.99
0.533376839113752,619.5426,0.437822166666668,11.69
0.160296121244952,645.5579,0.666463833333333,11.78
0.94690467428841,647.5737,0.0412448333333351,12.1
0.0144100815439836,669.5579,1.166818,11.61
0.00507005950089175,671.5734,1.14689933333333,11.88
0.203643636107337,673.5891,0.468036999999999,12.19
0.117487845383768,675.6048,-0.521521499999999,12.51
0.00605258569297797,693.5576,1.82099233333333,11.46
0.00593852862289947,695.5734,1.37848266666666,11.73
0.301578448023249,697.589,0.398268833333332,11.99
0.100015067412323,719.5733,0.961542666666665,11.59
0.824844885076118,721.5886,0.185496833333331,11.83
0.129460268605941,723.6048,0.871484166666666,12.11
0.15289471473679,339.2506,-0.558208666666668,4.84
0.0221590355208658,381.2974,0.593757999999999,5.81
0.00388313330364723,435.3444,-2.04661633333333,6.9
0.153759516018916,563.4649,1.157409,8.7
0.328409654800144,587.4654,0.975882999999999,8.48
0.191785259586417,589.481,0.957522166666666,8.81
0.0996815758583251,591.4961,0.871269999999999,9.12
0.0565092860910843,613.4803,1.38510566666666,8.66
0.0889061997544396,615.4957,1.0228345,8.95
0.0344003729318621,617.5115,1.20955366666667,9.24
0.00465773070641687,619.5271,1.11046733333333,9.55
0.144310269236717,639.4956,0.914442833333332,8.77
0.0923249589403261,641.5111,1.012003,9.07
0.0528110455983484,643.5268,1.13973316666667,9.37
0.00741007867610409,645.5428,1.50896383333333,9.68
0.0019225308969695,647.5584,0.920325666666666,9.96
0.00023873694960644,665.5114,2.62305,9.05
0.0483146415726125,745.6318,1.3628885,10.95
0.107118389853978,769.6312,1.44857316666666,10.84
0.0458865902951524,771.6477,1.2268645,11.04
0.0742618286531588,773.663,1.6579235,11.31
0.0741496787822513,787.677,0.9663695,11.47
0.00126266792898544,795.6464,2.092861,10.9
0.0448592032640535,797.6629,1.45039983333333,11.15
0.194481362381401,799.6784,1.135024,11.4
0.0450920928594065,801.694,1.34710316666667,11.65
0.155389626948315,821.6629,1.16760066666667,10.98
0.17542387866454,823.6786,1.29378016666667,11.24
0.0418687156325971,825.6942,1.46237966666667,11.49
0.0608941256543302,827.7099,1.27610766666667,11.74
0.549707651703567,829.7254,0.409420499999999,11.98
0.0260693317445566,847.6778,1.69133566666667,11.08
0.156095095783987,849.694,1.284223,11.33
0.0418687156325971,851.7094,1.64094683333333,11.58
0.154297323292857,853.7251,0.982677000000001,11.82
0.294916483073966,855.7404,0.399142499999999,12.08
0.109262675551649,857.7563,0.808356333333332,12.34
0.29167799453566,865.7262,0.677547833333334,11.74
0.277855436817389,867.7401,0.653349666666667,11.99
0.0367412053299875,869.7561,1.76008833333333,12.24
0.215785415264359,871.7736,1.15639466666667,12.52
0.856249723446424,871.6791,0.211526333333334,10.95
0.240793046069063,873.694,1.234938,11.19
0.0730874627374264,875.7095,1.58302183333333,11.43
0.416636713219213,877.7251,0.401393999999999,11.67
0.22013551592613,879.7408,0.921566833333335,11.92
0.10870266842704,881.7564,1.1559335,12.18
0.0681496778819869,883.7721,1.07669916666667,12.43
0.0648319057240049,885.7882,1.12183233333333,12.69
0.0592120186838008,893.7563,0.953179833333331,12.1
0.545227962245476,901.7243,0.561002166666667,11.53
0.4269614907855,903.7406,0.668404666666665,11.78
0.280364442517969,905.7562,0.847688999999998,12.03
0.138987685644842,907.7721,1.1087985,12.28
0.116536059953829,909.7875,1.2127145,12.53
0.0354192255352067,911.8037,1.1057925,12.79
0.0525037917131769,921.788,1.4919,12.45
0.274485419980838,923.8038,0.791867333333333,12.71
0.00208962657168653,927.7399,2.54997783333333,11.74
0.162269000710288,929.755,0.891639333333331,11.87
0.0959275640820099,933.7877,0.840325333333332,12.37
0.0602059687735664,935.8034,1.04082633333333,12.63
0.0316938999724211,937.817,0.736979999999999,12.91
0.0888349122894441,939.8351,1.0157705,13.22
0.722939077716301,949.7261,0.580019500000001,11.47
0.305063825632867,369.3516,0.662817,7.35
0.0478742742778523,371.3671,-0.901844666666668,7.61
0.0589093532095157,397.383,1.0657015,7.85
0.0135237175982233,286.1437,1.75667816666667,3.69
0.00649050300924902,640.6037,1.51659916666667,11.78
0.800652430505701,642.6187,0.170322999999998,12.1
0.0239487142926307,664.6023,1.213148,11.6
0.00068935067104296,666.6182,1.49312033333333,11.89
0.081575926766533,668.6338,0.694973999999998,12.19
0.102865993629356,670.6497,-0.789134,12.52
0.0191048836353961,688.604,1.4154715,11.46
