m.z,rt,p.value,t.score
468.3081,4.34,0.0497647891947408,1.259781
494.3242,4.48,0.0088208847818915,1.07149816666667
496.3397,4.83,0.00951022818621034,1.13621533333333
520.3395,4.66,0.254340658801344,0.574536166666668
522.3553,5,0.023113867340885,1.18755666666667
524.371,5.39,0.00167667487986538,1.640301
542.3214,4.66,0.127648503047297,0.819757666666668
544.3386,4.69,0.0101919897650284,1.55312116666667
518.3215,4.82,0.0342551030553591,1.0133325
568.3398,4.66,0.624943585873344,0.5404175
452.277,4.52,0.838514055107718,-0.166037833333332
454.2928,4.84,0.460908141335818,0.312184499999999
478.2926,4.68,0.100015067412323,1.14907216666667
480.3084,5.01,0.0101872587696576,0.865087333333332
482.3242,5.4,0.00141391990349835,1.73791316666667
502.2933,4.7,0.63334783359287,0.243123000000001
510.3556,5.11,0.00528319568714316,0.432288166666667
538.3868,5.72,0.02558064191132,1.42488433333333
706.5373,8.11,0.0563199255312342,1.3046185
732.5538,8.27,0.00031230726568166,3.40095883333333
734.5689,8.59,4.05188493804165E-05,2.74966216666667
756.5521,8.12,0.00011070616745475,2.4162775
758.5683,8.42,0.0408320780178737,1.4128135
760.5847,8.74,0.00021148543301637,1.99359666666667
762.5999,9.04,0.024557679985672,2.00150466666667
782.568,8.25,0.284861559906071,0.678570166666668
782.5677,8.45,0.0268772350187156,1.59916366666667
784.5841,8.57,0.00334537249740844,1.89770766666666
786.6002,8.88,0.00020221400886641,2.47816833333333
788.616,9.17,3.89287479204143E-05,2.266618
806.5683,8.38,0.292243960537216,-1.07147366666666
810.5969,8.89,0.0146417675801801,1.67193766666666
812.6153,9.04,0.894583360626169,0.143331666666668
814.6335,9.26,0.23518754680051,1.18286533333333
740.5548,8.64,0.0585143892205207,1.69144716666667
744.5921,9.03,0.0802532329951305,1.27710483333333
746.6059,9.03,0.00018238991393315,2.08625233333333
766.5731,8.74,0.0744189976344325,1.594774
768.5879,9.03,0.0555337204899826,1.71509483333333
772.6212,9.18,0.00920587392382197,2.02889483333333
774.6361,9.47,0.0228583956608296,1.87464433333333
796.6206,9.2,0.00013694511591893,3.37090566666667
692.5217,7.85,0.610880083708782,0.286809333333333
720.5558,8.44,0.404240478678521,-0.544077000000002
300.2897,4.25,0.856168577545048,-0.0940461666666675
300.2896,4.99,0.826860122842244,-0.127796166666668
324.2895,4.83,0.620260644103967,-0.336872166666666
342.3,5.11,0.00025619939629843,-1.647753
538.5196,8.29,0.400162884019934,0.340148333333332
622.6134,9.66,0.0964699506171999,0.961435833333334
650.6444,10.07,0.0242684999742779,1.229201
648.6289,9.71,0.00503719140708997,1.58888833333333
701.5583,7.82,0.0194912107671467,2.14538333333333
703.5744,8.15,0.00068935067104296,1.60866733333333
729.5891,8.33,0.186082097851528,0.866578833333333
731.6058,8.64,0.0174225597188306,1.45631083333334
759.6369,9.12,0.0445157007458078,1.4555175
785.6526,9.26,0.00118047688014511,2.3243715
787.6648,9.55,0.0119896933455184,1.9058355
813.6853,9.6,5.89144480836172E-05,3.04520016666667
815.6998,9.99,0.00036097635271897,2.45006233333333
619.5426,11.69,0.533376839113752,0.437822166666668
645.5579,11.78,0.160296121244952,0.666463833333333
647.5737,12.1,0.94690467428841,0.0412448333333351
669.5579,11.61,0.0144100815439836,1.166818
671.5734,11.88,0.00507005950089175,1.14689933333333
673.5891,12.19,0.203643636107337,0.468036999999999
675.6048,12.51,0.117487845383768,-0.521521499999999
693.5576,11.46,0.00605258569297797,1.82099233333333
695.5734,11.73,0.00593852862289947,1.37848266666666
697.589,11.99,0.301578448023249,0.398268833333332
719.5733,11.59,0.100015067412323,0.961542666666665
721.5886,11.83,0.824844885076118,0.185496833333331
723.6048,12.11,0.129460268605941,0.871484166666666
339.2506,4.84,0.15289471473679,-0.558208666666668
381.2974,5.81,0.0221590355208658,0.593757999999999
435.3444,6.9,0.00388313330364723,-2.04661633333333
563.4649,8.7,0.153759516018916,1.157409
587.4654,8.48,0.328409654800144,0.975882999999999
589.481,8.81,0.191785259586417,0.957522166666666
591.4961,9.12,0.0996815758583251,0.871269999999999
613.4803,8.66,0.0565092860910843,1.38510566666666
615.4957,8.95,0.0889061997544396,1.0228345
617.5115,9.24,0.0344003729318621,1.20955366666667
619.5271,9.55,0.00465773070641687,1.11046733333333
639.4956,8.77,0.144310269236717,0.914442833333332
641.5111,9.07,0.0923249589403261,1.012003
643.5268,9.37,0.0528110455983484,1.13973316666667
645.5428,9.68,0.00741007867610409,1.50896383333333
647.5584,9.96,0.0019225308969695,0.920325666666666
665.5114,9.05,0.00023873694960644,2.62305
745.6318,10.95,0.0483146415726125,1.3628885
769.6312,10.84,0.107118389853978,1.44857316666666
771.6477,11.04,0.0458865902951524,1.2268645
773.663,11.31,0.0742618286531588,1.6579235
787.677,11.47,0.0741496787822513,0.9663695
795.6464,10.9,0.00126266792898544,2.092861
797.6629,11.15,0.0448592032640535,1.45039983333333
799.6784,11.4,0.194481362381401,1.135024
801.694,11.65,0.0450920928594065,1.34710316666667
821.6629,10.98,0.155389626948315,1.16760066666667
823.6786,11.24,0.17542387866454,1.29378016666667
825.6942,11.49,0.0418687156325971,1.46237966666667
827.7099,11.74,0.0608941256543302,1.27610766666667
829.7254,11.98,0.549707651703567,0.409420499999999
847.6778,11.08,0.0260693317445566,1.69133566666667
849.694,11.33,0.156095095783987,1.284223
851.7094,11.58,0.0418687156325971,1.64094683333333
853.7251,11.82,0.154297323292857,0.982677000000001
855.7404,12.08,0.294916483073966,0.399142499999999
