Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
319.2272,12harachd,M[1+],4.83,0.000125000000025466,EC0001
319.2273,12harachd,M[1+],4.66,2.49999999937245e-05,EC0001
320.235,12harachd,M+H[1+],5.23,0.000398533229997611,EC0001
338.2456,12harachd,M+H2O+H[1+],4.99,0.000398533229997611,EC0001
331.2253,17ahprgstrn,M+H[1+],3.99,0.00145846677003192,EC0002
331.226,17ahprgstrn,M+H[1+],4.17,0.000758466770037103,EC0002
331.2266,17ahprgstrn,M+H[1+],3.61,0.000158466770017185,EC0002
331.2268,17ahprgstrn,M+H[1+],3.82,4.15332299894544e-05,EC0002
349.2358,17ahprgstrn,M+H2O+H[1+],4.08,0.00155846677006366,EC0002
349.2361,17ahprgstrn,M+H2O+H[1+],3.95,0.00125846677002528,EC0002
349.2363,17ahprgstrn,M+H2O+H[1+],3.73,0.00105846677001864,EC0002
349.2366,17ahprgstrn,M+H2O+H[1+],3.62,0.000758466770037103,EC0002
349.2378,17ahprgstrn,M+H2O+H[1+],3.8,0.00044153322994589,EC0002
353.2073,17ahprgstrn,M+Na[1+],4.68,0.00145846677008876,EC0002
353.208,17ahprgstrn,M+Na[1+],4.17,0.000758466770037103,EC0002
353.2086,17ahprgstrn,M+Na[1+],3.88,0.000158466770074028,EC0002
353.2087,17ahprgstrn,M+Na[1+],4.03,5.8466770042287e-05,EC0002
353.2088,17ahprgstrn,M+Na[1+],4.89,4.1533229932611e-05,EC0002
369.1821,17ahprgstrn,M+K[1+],3.99,0.000158466770017185,EC0002
415.1882,17ahprgstrn,M+HCOOK[1+],3.79,0.000141533229964352,EC0002
383.36683,44mctr,M-CO+H[1+],6.24,0.000304466769989631,EC0003
383.3671,44mctr,M-CO+H[1+],6.52,3.44667699891943e-05,EC0003
383.36711,44mctr,M-CO+H[1+],8.65,2.44667699575984e-05,EC0004
383.3672,44mctr,M-CO+H[1+],7.88,6.55332300425471e-05,EC0005
383.3673,44mctr,M-CO+H[1+],7.34,0.000165533230017445,EC0005
383.3675,44mctr,M-CO+H[1+],11,0.000365533230024084,EC0006
383.3676,44mctr,M-CO+H[1+],7.09,0.000465533229998982,EC0005
393.3508,44mctr,M-H2O+H[1+],5.12,0.00073446676998401,EC0007
393.3511,44mctr,M-H2O+H[1+],6.06,0.000434466770002473,EC0003
393.35117,44mctr,M-H2O+H[1+],4.83,0.000364466769951832,EC0008
411.3612,44mctr,M+H[1+],4.34,0.000934466769990649,EC0008
411.3616,44mctr,M+H[1+],5.43,0.000534466769977371,EC0009
411.36162,44mctr,M+H[1+],4.51,0.000514466769971023,EC0008
411.3617,44mctr,M+H[1+],6.45,0.000434466770002473,EC0003
411.36174,44mctr,M+H[1+],9.94,0.000394466769989776,EC0006
411.3618,44mctr,M+H[1+],5.12,0.000334466769970732,EC0007
411.36189,44mctr,M+H[1+],10.62,0.000244466769970586,EC0006
411.362,44mctr,M+H[1+],4.21,0.000134466769964092,EC0008
411.3621,44mctr,M+H[1+],6.33,3.44667699891943e-05,EC0003
411.36215,44mctr,M+H[1+],10.18,1.55332299982547e-05,EC0006
411.3622,44mctr,M+H[1+],7.29,6.55332299857037e-05,EC0005
411.36221,44mctr,M+H[1+],4.83,7.55332300172995e-05,EC0008
411.362216,44mctr,M+H[1+],7.92,8.1533230002151e-05,EC0005
411.36229,44mctr,M+H[1+],7.48,0.000155533229985849,EC0005
411.362292,44mctr,M+H[1+],5.74,0.000157533230037643,EC00010
411.3623,44mctr,M+H[1+],6.08,0.000165533230017445,EC0003
411.3624,44mctr,M+H[1+],6.55,0.000265533229992343,EC0003
411.3626,44mctr,M+H[1+],10.29,0.000465533229998982,EC0006
411.3632,44mctr,M+H[1+],7.76,0.0010655332300189,EC0005
411.3635,44mctr,M+H[1+],7.64,0.00136553323000044,EC0005
429.3722,44mctr,M+H2O+H[1+],4.12,0.000534466769977371,EC0008
429.3726,44mctr,M+H2O+H[1+],4.23,0.000134466770020936,EC0008
429.3727,44mctr,M+H2O+H[1+],6.41,3.44667699891943e-05,EC0003
429.3728,44mctr,M+H2O+H[1+],6.11,6.55332299857037e-05,EC0003
429.37287,44mctr,M+H2O+H[1+],7.2,0.000135533229979501,EC0005
429.3729,44mctr,M+H2O+H[1+],4.35,0.000165533230017445,EC0008
429.37293,44mctr,M+H2O+H[1+],4.52,0.000195533229998546,EC0008
429.373,44mctr,M+H2O+H[1+],4.29,0.000265533229992343,EC0008
433.3442,44mctr,M+Na[1+],7.48,6.55332299857037e-05,EC0005
433.34425,44mctr,M+Na[1+],7.93,0.000115533229973153,EC0005
433.3444,44mctr,M+Na[1+],7.28,0.000265533229992343,EC0005
433.34448,44mctr,M+Na[1+],8.6,0.000345533229960893,EC0004
449.3182,44mctr,M+K[1+],7.29,0.000565533230030724,EC0005
449.31824,44mctr,M+K[1+],7.48,0.00060553323004342,EC0005
469.3187,44mctr,M+NaCl[1+],3.87,0.00203446676999874,EC0008
479.3489,44mctr,M+HCOONa[1+],6.54,0.000634466769952269,EC0003
479.3494,44mctr,M+HCOONa[1+],5.12,0.000134466769964092,EC0007
479.3495,44mctr,M+HCOONa[1+],6.33,3.44667699891943e-05,EC0003
479.3498,44mctr,M+HCOONa[1+],4.6,0.000265533230049186,EC0008
479.3499,44mctr,M+HCOONa[1+],4.31,0.000365533230024084,EC0008
479.3501,44mctr,M+HCOONa[1+],4.47,0.000565533230030724,EC0008
479.3504,44mctr,M+HCOONa[1+],7.23,0.000865533230012261,EC0005
495.3231,44mctr,M+HCOOK[1+],5.12,0.000334466769970732,EC0007
495.3242,44mctr,M+HCOOK[1+],4.31,0.000765533230037363,EC0008
495.3247,44mctr,M+HCOOK[1+],4.61,0.00126553323002554,EC0008
404.3509,adrncrn,M-C3H4O2+H[1+],6.38,0.001435533270012,EC00011
404.3529,adrncrn,M-C3H4O2+H[1+],4.35,0.000564466729940705,EC00012
430.3676,adrncrn,M-HCOOH+H[1+],3.73,0.000435533270035648,EC00012
440.3526,adrncrn,M-H4O2+H[1+],3.75,0.000364466729990909,EC00012
448.3787,adrncrn,M-CO+H[1+],5.87,0.000264466729959167,EC00013
458.362,adrncrn,M-H2O+H[1+],6.25,0.000835533269992084,EC00011
458.3631,adrncrn,M-H2O+H[1+],5.55,0.000264466729959167,EC00013
459.3447,adrncrn,M-NH3+H[1+],4.36,0.00223553327003856,EC00012
459.3448,adrncrn,M-NH3+H[1+],4.45,0.00213553327000682,EC00012
459.3454,adrncrn,M-NH3+H[1+],3.99,0.00153553327004374,EC00012
459.3461,adrncrn,M-NH3+H[1+],4.65,0.000835533270048927,EC00012
459.347,adrncrn,M-NH3+H[1+],5.41,6.44667299525281e-05,EC00013
459.3476,adrncrn,M-NH3+H[1+],5.56,0.000664466729972446,EC00013
476.3735,adrncrn,M+H[1+],4.13,6.44667299525281e-05,EC00012
476.3739,adrncrn,M+H[1+],4.8,0.000464466729965807,EC00012
494.3832,adrncrn,M+H2O+H[1+],5.17,0.000835533270048927,EC00013
494.3839,adrncrn,M+H2O+H[1+],5.77,0.000135533270054111,EC00013
494.3842,adrncrn,M+H2O+H[1+],4.65,0.000164466729984269,EC00012
514.3302,adrncrn,M+K[1+],3.58,0.00126446672993552,EC00012
215.1789,andrstndn,M-C3H4O2+H[1+],4.35,0.000544466770008967,EC00014
215.17923,andrstndn,M-C3H4O2+H[1+],3.99,0.000214466770017907,EC00014
215.17927,andrstndn,M-C3H4O2+H[1+],3.94,0.00017446677000521,EC00014
215.17928,andrstndn,M-C3H4O2+H[1+],4.4,0.000164466770002036,EC00014
243.2099,andrstndn,M-CO2+H[1+],4.09,0.000844466769990504,EC00014
243.21,andrstndn,M-CO2+H[1+],5.11,0.000744466769987184,EC00014
243.2101,andrstndn,M-CO2+H[1+],4.64,0.000644466769983865,EC00014
243.2104,andrstndn,M-CO2+H[1+],4.71,0.000344466770002327,EC00014
243.2106,andrstndn,M-CO2+H[1+],4.41,0.000144466769995688,EC00014
243.21075,andrstndn,M-CO2+H[1+],3.99,5.53322999508055e-06,EC00014
243.211,andrstndn,M-CO2+H[1+],3.94,0.000255533230017591,EC00014
259.205,andrstndn,M-CO+H[1+],4.08,0.000544466770008967,EC00014
259.2051,andrstndn,M-CO+H[1+],4.23,0.000444466769977225,EC00014
259.2053,andrstndn,M-CO+H[1+],4.84,0.000244466769970586,EC00014
259.2056,andrstndn,M-CO+H[1+],4.66,5.55332300109512e-05,EC00014
287.2,andrstndn,M+H[1+],4.46,0.000544466770008967,EC00014
305.2111,andrstndn,M+H2O+H[1+],4.13,4.44667700207901e-05,EC00014
305.21113,andrstndn,M+H2O+H[1+],4.42,1.4466769982846e-05,EC00014
305.2113,andrstndn,M+H2O+H[1+],3.7,0.000155533229985849,EC00014
309.1824,andrstndn,M+Na[1+],4.02,0.000144466769995688,EC00014
309.1826,andrstndn,M+Na[1+],4.13,5.55332300109512e-05,EC00014
309.1835,andrstndn,M+Na[1+],3.9,0.000955533230012406,EC00014
355.1875,andrstndn,M+HCOONa[1+],4.34,0.000444466769977225,EC00014
355.1883,andrstndn,M+HCOONa[1+],3.78,0.000355533230049332,EC00014
355.1897,andrstndn,M+HCOONa[1+],3.94,0.00175553323003896,EC00014
371.1624,andrstndn,M+HCOOK[1+],3.72,0.000555533229999128,EC00014
371.1628,andrstndn,M+HCOOK[1+],4.49,0.000955533230012406,EC00014
384.3835,arachcrn,M-C3H4O2+H[1+],7.43,0.000137466770013361,EC00015
384.3836,arachcrn,M-C3H4O2+H[1+],6.91,3.74667700384634e-05,EC00015
410.4,arachcrn,M-HCOOH+H[1+],7.01,0.000662533229956352,EC00015
412.415,arachcrn,M-CO2+H[1+],7.55,6.25332299932779e-05,EC00015
420.3831,arachcrn,M-H4O2+H[1+],5.58,0.000437466769994899,EC00016
420.3836,arachcrn,M-H4O2+H[1+],5.73,6.25332299932779e-05,EC00016
428.4094,arachcrn,M-CO+H[1+],7.27,0.000337466770020001,EC00015
428.4111,arachcrn,M-CO+H[1+],7.36,0.00136253322995117,EC00015
438.394,arachcrn,M-H2O+H[1+],4.81,0.000137466770013361,EC00016
