"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Carnitine shuttle","72","34","32","35.086","0.0036757","0.010614","0.017478","60","0.6","0.2242177","0.647454","1","P1","EC000649;EC000650;EC000642;EC000643;EC000646;EC000623;EC000624;EC000636;EC000637;EC000638;EC000647;EC00018;EC00019;EC000447;EC000629;EC000626;EC000220;EC000221;EC00012;EC00013;EC000641;EC000635;EC000651;EC000652;EC000653;EC000654;EC000633;EC000634;EC000632;EC00015;EC00016;EC000619;EC000620;EC000616;EC000617;EC000618;EC000655;EC000644;EC000645;EC000621;EC000630"
"Bile acid biosynthesis","82","52","52","50.341","0.0081985","0.017495","0.01766","21","0.21","0.49191","1","1","P2","EC000230;EC000229;EC000317;EC000455;EC000456;EC000457;EC000303;EC000304;EC000305;EC000306;EC000307;EC000308;EC000309;EC000310;EC000311;EC000287;EC000258;EC000259;EC000260;EC000261;EC000547;EC000137;EC000138;EC000190;EC000316;EC000209;EC000233;EC000234;EC000235;EC000312;EC000313;EC000314;EC000315;EC000166;EC000167;EC000168;EC000147;EC000148;EC000149;EC000150;EC00097;EC00098;EC000441;EC000443;EC000444;EC000203;EC000204;EC000205;EC000206;EC000207;EC000213;EC00031;EC00032;EC00033;EC00036;EC00037"
"C21-steroid hormone biosynthesis and metabolism","112","73","70","45.764","0.011013","0.023698","0.017774","60","0.6","0.649767","1","1","P3","EC000230;EC000229;EC00014;EC000324;EC000325;EC000326;EC00083;EC00084;EC000248;EC000321;EC000196;EC000318;EC000209;EC000121;EC000305;EC000306;EC000307;EC0002;EC000327;EC000458;EC000460;EC000108;EC00081;EC00082;EC000291;EC00062;EC000112;EC000113;EC000375;EC000320;EC000322;EC000191;EC00056;EC000303;EC000304;EC000308;EC000309;EC000310;EC000311;EC000312;EC000313;EC000314;EC000315;EC00031;EC00032;EC00033;EC00036;EC00037;EC000328;EC000289;EC000290"
"De novo fatty acid biosynthesis","106","16","14","39.663","0.04826","0.089921","0.019361","17","0.17","1","1","1","P4","EC000143;EC000144;EC000145;EC000146;EC00099;EC000100;EC000101;EC000102;EC000103;EC000104;EC000105;EC000106;EC000351;EC000352;EC000353;EC000354;EC000355;EC000156;EC000157;EC000158;EC000159;EC000349;EC000350;EC00046;EC00047;EC00049;EC000357;EC000358;EC000194;EC000222;EC000223;EC000224;EC00040;EC00041;EC00042;EC00043;EC00044;EC00045;EC000496;EC000497;EC000151;EC000152;EC000153"
"Fatty acid activation","74","15","12","28.221","0.069116","0.13646","0.020317","21","0.21","1","1","1","P5","EC000156;EC000157;EC000158;EC000159;EC000497;EC000627;EC000628;EC000105;EC000103;EC000102;EC000106;EC000351;EC000352;EC000353;EC000354;EC000355;EC000349;EC000350;EC00046;EC00047;EC00049;EC000151;EC000152;EC000153;EC000143;EC000144;EC000145;EC000146;EC000222;EC000223;EC000224"
"Vitamin D3 (cholecalciferol) metabolism","16","14","13","16.78","0.095551","0.21266","0.021605","73","0.73","1","1","1","P6","EC000147;EC000148;EC000149;EC000150;EC000602;EC000166;EC000167;EC000168;EC00088;EC00089;EC00090;EC00091;EC000443;EC000444;EC000485;EC000486;EC000482;EC000483;EC000441"
"Prostaglandin formation from arachidonate","78","46","45","27.459","0.16478","0.27502","0.025428","2","0.02","1","1","1","P7","EC000556;EC000558;EC000553;EC000554;EC000559;EC000560;EC0001;EC00070;EC00071;EC00072;EC000102;EC000122;EC000387;EC000105;EC000512;EC000500;EC000501;EC00095;EC00023;EC00040;EC00041;EC00042;EC00043;EC00044;EC00045;EC000345;EC000534;EC000380;EC000493"
"Fatty Acid Metabolism","63","8","7","20.594","0.18758","0.32692","0.026848","12","0.12","1","1","1","P8","EC000156;EC000157;EC000158;EC000159;EC000349;EC000350;EC00046;EC00047;EC00049;EC000151;EC000152;EC000153;EC000143;EC000144;EC000145;EC000146;EC00031;EC00032;EC00033;EC00036;EC00037;EC000622"
"Putative anti-Inflammatory metabolites formation from EPA","27","19","14","6.8647","0.23378","0.51452","0.030009","8","0.08","1","1","1","P9","EC000476;EC000588;EC000500;EC000501;EC000254;EC000255;EC000256;EC00023"
"Vitamin E metabolism","54","37","31","44.239","0.30676","0.41183","0.0359","80","0.8","1","1","1","P10","EC000588;EC000576;EC000577;EC000578;EC000579;EC000523;EC000524;EC000525;EC000583;EC000584;EC000500;EC000501;EC000564;EC000548;EC000549;EC000105;EC000551;EC000377;EC000520;EC000521;EC000522;EC000582;EC000200;EC000201;EC000615;EC000389;EC000390;EC000391;EC000609;EC000600;EC000574;EC000575;EC000563;EC000591;EC000467;EC000519;EC000586;EC000511;EC000470;EC000471;EC000472;EC000610;EC000611;EC000612"
"Glycerophospholipid metabolism","156","25","21","52.629","0.31275","0.40815","0.03644","67","0.67","1","1","1","P11","EC000238;EC000239;EC000209;EC000346;EC000347;EC000264;EC00067;EC00068;EC00069;EC000262;EC000252;EC000253;EC000241;EC000242;EC000131;EC00051;EC00052;EC00053;EC00056;EC000351;EC000352;EC000353;EC000354;EC000355;EC00026;EC000115;EC000117;EC000119;EC00031;EC00032;EC00033;EC00036;EC00037;EC000151;EC000152;EC000153;EC00038;EC000416;EC000417;EC000419;EC000414;EC000415;EC00040;EC00041;EC00042;EC00043;EC00044;EC00045;EC00063;EC00064;EC00065;EC00066"
"Leukotriene metabolism","92","43","38","25.933","0.35728","0.50332","0.040759","9","0.09","1","1","1","P12","EC000102;EC000105;EC000122;EC000106;EC000476;EC000500;EC000501;EC000493;EC00040;EC00041;EC00042;EC00043;EC00044;EC00045;EC00070;EC00071;EC00072;EC000596;EC000598;EC000535;EC000120;EC000544;EC000508;EC000341;EC00023;EC000534"
"Alkaloid biosynthesis II","10","2","2","2.2882","0.37397","0.80826","0.042529","2","0.02","1","1","1","P13","EC000139;EC000140;EC000386"
"Androgen and estrogen biosynthesis and metabolism","95","51","45","19.831","0.37857","0.54756","0.043033","78","0.78","1","1","1","P14","EC000291;EC000298;EC00083;EC00084;EC000289;EC000290;EC00081;EC00082;EC000121;EC000191;EC000537;EC000538;EC000539;EC000328;EC00014;EC000375;EC00023;EC000487;EC000488;EC000248"
"Arachidonic acid metabolism","95","71","66","28.221","0.38626","0.52674","0.04389","28","0.28","1","1","1","P15","EC0001;EC000401;EC000122;EC00070;EC00071;EC00072;EC00095;EC000262;EC000502;EC000493;EC000500;EC000501;EC000351;EC000352;EC000353;EC000354;EC000355;EC000476;EC000102;EC000120;EC000341;EC00023;EC00040;EC00041;EC00042;EC00043;EC00044;EC00045"
"Phosphatidylinositol phosphate metabolism","59","3","3","7.6274","0.43925","0.70121","0.050378","24","0.24","1","1","1","P16","EC00063;EC00064;EC00065;EC00066;EC00046;EC00047;EC00049;EC00026"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","5","4","6.8647","0.51912","0.77378","0.062471","21","0.21","1","1","1","P17","EC000200;EC000201;EC00023;EC000389;EC000390;EC000391;EC000614"
"Omega-6 fatty acid metabolism","55","5","2","6.8647","0.51912","0.77378","0.062471","1","0.01","1","1","1","P18","EC000492;EC00040;EC00041;EC00042;EC00043;EC00044;EC00045"
"Polyunsaturated fatty acid biosynthesis","21","2","1","3.8137","0.57147","0.86236","0.072351","13","0.13","1","1","1","P19","EC000143;EC000144;EC000145;EC000146"
"Sphingolipid metabolism","3","2","2","3.8137","0.57147","0.86236","0.072351","47","0.47","1","1","1","P20","EC00038;EC00085;EC00086;EC00087"
"Prostaglandin formation from dihomo gama-linoleic acid","11","7","6","3.8137","0.57147","0.86236","0.072351","39","0.39","1","1","1","P21","EC00095;EC000105;EC000102;EC000502"
"Urea cycle/amino group metabolism","85","5","4","6.1019","0.6052","0.84082","0.079769","25","0.25","1","1","1","P22","EC000299;EC000301;EC000302;EC000134;EC000293;EC000640"
"Vitamin A (retinol) metabolism","67","36","35","25.933","0.6625","0.78184","0.094774","74","0.74","1","1","1","P23","EC000405;EC000406;EC000407;EC000408;EC000409;EC000567;EC00057;EC000517;EC000518;EC000114;EC000194;EC000506;EC000507;EC000438;EC00074;EC00075;EC000372;EC000373;EC000262;EC000227;EC00063;EC00064;EC00065;EC00066"
"Vitamin K metabolism","3","3","3","7.6274","0.7055","0.88265","0.10859","78","0.78","1","1","1","P24","EC000162;EC000334;EC000335;EC000336;EC000337;EC000338;EC000339"
"N-Glycan biosynthesis","48","1","1","0.76274","0.72093","1","0.11422","11","0.11","1","1","1","P25","EC000135"
"Dynorphin metabolism","8","1","1","0.76274","0.72093","1","0.11422","11","0.11","1","1","1","P26","EC000509"
"Purine metabolism","80","1","1","0.76274","0.72093","1","0.11422","3","0.03","1","1","1","P27","EC000136"
