"","V3","V4"
"1","m/z","RT"
"2","468.3081","4.34"
"3","494.3242","4.48"
"4","496.3397","4.83"
"5","520.3395","4.66"
"6","522.3553","5.00"
"7","524.3710","5.39"
"8","542.3214","4.66"
"9","544.3386","4.69"
"10","518.3215","4.82"
"11","568.3398","4.66"
"12","452.2770","4.52"
"13","454.2928","4.84"
"14","478.2926","4.68"
"15","480.3084","5.01"
"16","482.3242","5.40"
"17","502.2933","4.70"
"18","510.3556","5.11"
"19","538.3868","5.72"
"20","706.5373","8.11"
"21","732.5538","8.27"
"22","734.5689","8.59"
"23","756.5521","8.12"
"24","758.5683","8.42"
"25","760.5847","8.74"
"26","762.5999","9.04"
"27","782.5680","8.25"
"28","782.5677","8.45"
"29","784.5841","8.57"
"30","786.6002","8.88"
"31","788.6160","9.17"
"32","806.5683","8.38"
"33","810.5969","8.89"
"34","812.6153","9.04"
"35","814.6335","9.26"
"36","740.5548","8.64"
"37","744.5921","9.03"
"38","746.6059","9.03"
"39","766.5731","8.74"
"40","768.5879","9.03"
"41","772.6212","9.18"
"42","774.6361","9.47"
"43","796.6206","9.20"
"44","692.5217","7.85"
"45","720.5558","8.44"
"46","300.2897","4.25"
"47","300.2896","4.99"
"48","324.2895","4.83"
"49","342.3000","5.11"
"50","538.5196","8.29"
"51","622.6134","9.66"
"52","650.6444","10.07"
"53","648.6289","9.71"
"54","701.5583","7.82"
"55","703.5744","8.15"
"56","729.5891","8.33"
"57","731.6058","8.64"
"58","759.6369","9.12"
"59","785.6526","9.26"
"60","787.6648","9.55"
"61","813.6853","9.60"
"62","815.6998","9.99"
"63","619.5426","11.69"
"64","645.5579","11.78"
"65","647.5737","12.10"
"66","669.5579","11.61"
"67","671.5734","11.88"
"68","673.5891","12.19"
"69","675.6048","12.51"
"70","693.5576","11.46"
"71","695.5734","11.73"
"72","697.5890","11.99"
"73","719.5733","11.59"
"74","721.5886","11.83"
"75","723.6048","12.11"
"76","339.2506","4.84"
"77","381.2974","5.81"
"78","435.3444","6.90"
"79","563.4649","8.70"
"80","587.4654","8.48"
"81","589.4810","8.81"
"82","591.4961","9.12"
"83","613.4803","8.66"
"84","615.4957","8.95"
"85","617.5115","9.24"
"86","619.5271","9.55"
"87","639.4956","8.77"
"88","641.5111","9.07"
"89","643.5268","9.37"
"90","645.5428","9.68"
"91","647.5584","9.96"
"92","665.5114","9.05"
"93","745.6318","10.95"
"94","769.6312","10.84"
"95","771.6477","11.04"
"96","773.6630","11.31"
"97","787.6770","11.47"
"98","795.6464","10.90"
"99","797.6629","11.15"
"100","799.6784","11.40"
"101","801.6940","11.65"
"102","821.6629","10.98"
"103","823.6786","11.24"
"104","825.6942","11.49"
"105","827.7099","11.74"
"106","829.7254","11.98"
"107","847.6778","11.08"
"108","849.6940","11.33"
"109","851.7094","11.58"
"110","853.7251","11.82"
"111","855.7404","12.08"
"112","857.7563","12.34"
"113","865.7262","11.74"
"114","867.7401","11.99"
"115","869.7561","12.24"
"116","871.7736","12.52"
"117","871.6791","10.95"
"118","873.6940","11.19"
"119","875.7095","11.43"
"120","877.7251","11.67"
"121","879.7408","11.92"
"122","881.7564","12.18"
"123","883.7721","12.43"
"124","885.7882","12.69"
"125","893.7563","12.10"
"126","901.7243","11.53"
"127","903.7406","11.78"
"128","905.7562","12.03"
"129","907.7721","12.28"
"130","909.7875","12.53"
"131","911.8037","12.79"
"132","921.7880","12.45"
"133","923.8038","12.71"
"134","927.7399","11.74"
"135","929.7550","11.87"
"136","933.7877","12.37"
"137","935.8034","12.63"
"138","937.8170","12.91"
"139","939.8351","13.22"
"140","949.7261","11.47"
"141","369.3516","7.35"
"142","371.3671","7.61"
"143","397.3830","7.85"
"144","286.1437","3.69"
"145","640.6037","11.78"
"146","642.6187","12.10"
"147","664.6023","11.60"
"148","666.6182","11.89"
"149","668.6338","12.19"
"150","670.6497","12.52"
"151","688.6040","11.46"
"152","690.6181","11.74"
"153","692.6338","11.99"
"154","714.6188","11.59"
"155","716.6339","11.82"
"156","718.6494","12.11"
"157","334.2952","4.85"
"158","376.3421","5.81"
"159","430.3880","6.90"
"160","582.5099","8.48"
"161","584.5253","8.81"
"162","608.5253","8.66"
"163","610.5405","8.95"
"164","612.5563","9.24"
"165","634.5406","8.77"
"166","636.5561","9.07"
"167","638.5717","9.37"
"168","640.5875","9.68"
"169","642.6031","9.97"
"170","660.5555","9.06"
"171","662.5719","9.37"
"172","740.6762","10.95"
"173","764.6759","10.84"
"174","766.6915","11.04"
"175","768.7074","11.31"
"176","790.6910","10.90"
"177","792.7074","11.14"
"178","794.7230","11.40"
"179","796.7387","11.66"
"180","816.7075","10.98"
"181","818.7234","11.25"
"182","820.7392","11.50"
"183","822.7557","11.74"
"184","824.7698","11.98"
"185","836.7690","11.90"
"186","842.7233","11.09"
"187","844.7389","11.33"
"188","846.7542","11.58"
"189","848.7695","11.82"
"190","850.7855","12.07"
"191","852.8012","12.34"
"192","860.7693","11.75"
"193","862.7851","12.00"
"194","864.8026","12.25"
"195","866.8138","12.56"
"196","868.7388","11.19"
"197","870.7542","11.43"
"198","872.7698","11.67"
"199","874.7853","11.92"
"200","876.8009","12.18"
"201","878.8167","12.42"
"202","880.8327","12.69"
"203","888.8025","12.10"
"204","890.8150","12.35"
"205","896.7697","11.52"
"206","898.7856","11.77"
"207","900.8020","12.03"
"208","902.8168","12.28"
"209","904.8325","12.53"
"210","924.8009","11.87"
"211","928.8320","12.36"
"212","930.8483","12.63"
"213","932.8638","12.91"
"214","934.8789","13.21"
"215","221.1645","1.50"
"216","285.0873","1.50"
"217","520.3340","1.50"
"218","214.1741","1.51"
"219","330.2276","1.51"
"220","231.1125","1.52"
"221","309.1737","1.53"
"222","327.2012","1.53"
"223","344.2278","1.53"
"224","214.1219","1.54"
"225","214.1267","1.57"
"226","214.1720","1.57"
"227","302.0959","1.57"
"228","541.3380","1.62"
"229","332.1402","1.64"
"230","438.9716","1.71"
"231","214.1223","1.72"
"232","416.0451","1.73"
"233","214.1219","1.76"
"234","214.0032","1.77"
"235","414.0481","1.77"
"236","434.9776","1.77"
"237","419.0035","1.78"
"238","421.0005","1.78"
"239","436.9746","1.78"
"240","214.1721","1.85"
"241","254.1106","1.89"
"242","214.1744","1.90"
"243","214.1716","1.92"
"244","245.1861","1.92"
"245","254.1108","1.93"
"246","254.1145","1.93"
"247","298.2739","1.94"
"248","214.1213","1.96"
"249","214.1721","1.96"
"250","278.1742","1.99"
"251","371.2278","2.01"
"252","388.2540","2.01"
"253","409.1834","2.01"
"254","214.1207","2.03"
"255","213.1600","2.04"
"256","214.1216","2.10"
"257","417.2019","2.10"
"258","439.1836","2.10"
"259","455.1575","2.10"
"260","330.2277","2.12"
"261","293.1794","2.13"
"262","458.2648","2.13"
"263","276.1580","2.15"
"264","369.0732","2.16"
"265","446.2598","2.16"
"266","276.6597","2.17"
"267","332.1067","2.17"
"268","370.1042","2.17"
"269","438.2391","2.17"
"270","214.0581","2.18"
"271","214.1205","2.18"
"272","403.2701","2.18"
"273","436.2239","2.18"
"274","495.2967","2.18"
"275","401.2551","2.19"
"276","472.2754","2.19"
"277","224.0914","2.20"
"278","359.1034","2.20"
"279","214.1211","2.21"
"280","214.1707","2.21"
"281","313.2093","2.21"
"282","343.1295","2.21"
"283","493.2810","2.21"
"284","355.2202","2.22"
"285","497.3029","2.22"
"286","692.4061","2.24"
"287","304.6962","2.25"
"288","346.7067","2.25"
"289","347.2083","2.25"
"290","214.0096","2.26"
"291","309.1673","2.26"
"292","325.1415","2.26"
"293","269.1747","2.27"
"294","296.1828","2.27"
"295","305.1978","2.27"
"296","296.6847","2.29"
"297","308.1849","2.29"
"298","329.0882","2.29"
"299","608.3852","2.29"
"300","283.1749","2.30"
"301","363.7276","2.30"
"302","372.2410","2.30"
"303","726.4478","2.30"
"304","227.1282","2.31"
"305","313.7112","2.31"
"306","372.7426","2.31"
"307","209.1178","2.32"
"308","214.1215","2.32"
"309","245.1861","2.32"
"310","249.1099","2.32"
"311","265.0839","2.32"
"312","341.1862","2.32"
"313","629.3142","2.32"
"314","239.1489","2.33"
"315","416.1093","2.33"
"316","453.2098","2.33"
"317","323.1597","2.34"
"318","415.2539","2.34"
"319","432.2804","2.34"
"320","206.0805","2.35"
"321","300.2017","2.35"
"322","389.2549","2.35"
"323","458.1927","2.35"
"324","277.1668","2.36"
"325","311.1757","2.37"
"326","442.2700","2.37"
"327","464.2521","2.37"
"328","480.2260","2.37"
"329","214.1707","2.38"
"330","302.1382","2.38"
"331","318.6978","2.38"
"332","340.0941","2.38"
"333","378.0948","2.38"
"334","454.2339","2.38"
"335","535.7611","2.38"
"336","542.7908","2.38"
"337","543.7480","2.38"
"338","544.7669","2.38"
"339","545.2684","2.38"
"340","552.7536","2.38"
"341","682.4219","2.38"
"342","309.0635","2.39"
"343","327.2106","2.39"
"344","364.2259","2.39"
"345","431.2176","2.39"
"346","440.2547","2.39"
"347","462.2368","2.39"
"348","542.2890","2.39"
"349","553.2553","2.39"
"350","292.1721","2.40"
"351","478.2104","2.40"
"352","490.2859","2.40"
"353","673.3405","2.40"
"354","214.1742","2.41"
"355","326.7093","2.41"
"356","344.2425","2.41"
"357","345.6873","2.41"
"358","403.2701","2.41"
"359","430.2643","2.41"
"360","459.1409","2.41"
"361","217.1071","2.42"
"362","318.1960","2.42"
"363","327.2105","2.42"
"364","335.2225","2.42"
"365","335.7242","2.42"
"366","344.2279","2.42"
"367","429.2401","2.42"
"368","516.3017","2.42"
"369","652.4112","2.42"
"370","657.3664","2.42"
"371","214.0518","2.43"
"372","394.2699","2.43"
"373","443.2295","2.43"
"374","444.2490","2.43"
"375","511.1724","2.43"
"376","582.3033","2.43"
"377","377.2332","2.44"
"378","377.7348","2.44"
"379","401.2867","2.44"
"380","209.0800","2.45"
"381","227.0902","2.45"
"382","249.0721","2.45"
"383","332.1065","2.45"
"384","333.1118","2.45"
"385","368.7198","2.45"
"386","415.1137","2.45"
"387","510.2366","2.45"
"388","736.4322","2.45"
"389","208.0970","2.46"
"390","211.0349","2.46"
"391","214.1258","2.46"
"392","214.1271","2.46"
"393","227.0087","2.46"
"394","313.0839","2.46"
"395","330.0913","2.46"
"396","391.2704","2.46"
"397","413.1194","2.46"
"398","458.2189","2.46"
"399","472.2806","2.46"
"400","489.2348","2.46"
"401","492.2458","2.46"
"402","508.2211","2.46"
"403","695.3636","2.46"
"404","203.1389","2.47"
"405","214.1703","2.47"
"406","286.2012","2.47"
"407","416.2491","2.47"
"408","436.2240","2.47"
"409","458.1924","2.47"
"410","214.1212","2.48"
"411","270.1312","2.48"
"412","307.2069","2.48"
"413","394.7559","2.48"
"414","443.7647","2.48"
"415","613.4062","2.48"
"416","248.1494","2.49"
"417","286.1051","2.49"
"418","385.7408","2.49"
"419","394.2542","2.49"
"420","770.4742","2.49"
"421","211.1445","2.50"
"422","401.2068","2.50"
"423","423.1887","2.50"
"424","439.1629","2.50"
"425","444.2489","2.50"
